rowIndex,Name,urlColumn,url,mapId,slug,section,file_all,file_section,status,error
2,47th Street BID,Share Url (dark),https://share.livexyz.com/maplist/5ca384fbcb5baf0001a11b47?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca384fbcb5baf0001a11b47,47th-street-bid,,all/5ca384fbcb5baf0001a11b47__47th-street-bid.png,,ok,
3,NYC - Citywide,Share Url (dark),https://share.livexyz.com/maplist/?theme=dark&tags=&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,,nyc-citywide,,all/noid_79b95e89fb__nyc-citywide.png,,ok,
4,161st Street BID,Share Url (dark),https://share.livexyz.com/maplist/5ca3839ef7787b00017c0dae?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca3839ef7787b00017c0dae,161st-street-bid,,all/5ca3839ef7787b00017c0dae__161st-street-bid.png,,ok,
5,Bayside Village,Share Url (dark),https://share.livexyz.com/maplist/5ca38484f7787b00017c0e11?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca38484f7787b00017c0e11,bayside-village,,all/5ca38484f7787b00017c0e11__bayside-village.png,,ok,
6,Bed-Stuy Gateway BID,Share Url (dark),https://share.livexyz.com/maplist/5ca3841cf7787b00017c0ddb?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca3841cf7787b00017c0ddb,bed-stuy-gateway-bid,,all/5ca3841cf7787b00017c0ddb__bed-stuy-gateway-bid.png,,ok,
7,Chinatown,Share Url (dark),https://share.livexyz.com/maplist/5ca384b6f7787b00017c0e1e?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca384b6f7787b00017c0e1e,chinatown,,all/5ca384b6f7787b00017c0e1e__chinatown.png,,ok,
8,Flatiron District Map,Share Url (dark),https://share.livexyz.com/maplist/5abbed44bd3dd800044f7acb?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5abbed44bd3dd800044f7acb,flatiron-district-map,,all/5abbed44bd3dd800044f7acb__flatiron-district-map.png,,ok,
9,Fordham Road BID,Share Url (dark),https://share.livexyz.com/maplist/5ca384afcb5baf0001a11b2f?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca384afcb5baf0001a11b2f,fordham-road-bid,,all/5ca384afcb5baf0001a11b2f__fordham-road-bid.png,,ok,
10,Grand Central Partnership District,Share Url (dark),https://share.livexyz.com/maplist/5ab52e6e0d438e000403bf28?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ab52e6e0d438e000403bf28,grand-central-partnership-district,,all/5ab52e6e0d438e000403bf28__grand-central-partnership-district.png,,ok,
11,Kings Highway BID,Share Url (dark),https://share.livexyz.com/maplist/5ca38367cb5baf0001a11aac?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca38367cb5baf0001a11aac,kings-highway-bid,,all/5ca38367cb5baf0001a11aac__kings-highway-bid.png,,ok,
12,Kingsbridge BID,Share Url (dark),https://share.livexyz.com/maplist/5ca38304cb5baf0001a11a57?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca38304cb5baf0001a11a57,kingsbridge-bid,,all/5ca38304cb5baf0001a11a57__kingsbridge-bid.png,,ok,
13,Lincoln Square BID,Share Url (dark),https://share.livexyz.com/maplist/5ca3848ecb5baf0001a11b22?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca3848ecb5baf0001a11b22,lincoln-square-bid,,all/5ca3848ecb5baf0001a11b22__lincoln-square-bid.png,,ok,
14,NoHo BID,Share Url (dark),https://share.livexyz.com/maplist/5ca383faf7787b00017c0dd1?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca383faf7787b00017c0dd1,noho-bid,,all/5ca383faf7787b00017c0dd1__noho-bid.png,,ok,
15,Pitkin Avenue BID,Share Url (dark),https://share.livexyz.com/maplist/5ca38341cb5baf0001a11a91?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca38341cb5baf0001a11a91,pitkin-avenue-bid,,all/5ca38341cb5baf0001a11a91__pitkin-avenue-bid.png,,ok,
16,82nd Street BID,Share Url (dark),https://share.livexyz.com/maplist/5ca38444cb5baf0001a11b06?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca38444cb5baf0001a11b06,82nd-street-bid,,all/5ca38444cb5baf0001a11b06__82nd-street-bid.png,,ok,
17,Belmont BID,Share Url (dark),https://share.livexyz.com/maplist/5ca384a8f7787b00017c0e17?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca384a8f7787b00017c0e17,belmont-bid,,all/5ca384a8f7787b00017c0e17__belmont-bid.png,,ok,
18,Brighton Beach BID,Share Url (dark),https://share.livexyz.com/maplist/5ca38383cb5baf0001a11ab0?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca38383cb5baf0001a11ab0,brighton-beach-bid,,all/5ca38383cb5baf0001a11ab0__brighton-beach-bid.png,,ok,
19,Church Avenue BID,Share Url (dark),https://share.livexyz.com/maplist/5ca383b3cb5baf0001a11ac1?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca383b3cb5baf0001a11ac1,church-avenue-bid,,all/5ca383b3cb5baf0001a11ac1__church-avenue-bid.png,,ok,
20,Columbus Avenue BID,Share Url (dark),https://share.livexyz.com/maplist/5ca384ddcb5baf0001a11b3b?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca384ddcb5baf0001a11b3b,columbus-avenue-bid,,all/5ca384ddcb5baf0001a11b3b__columbus-avenue-bid.png,,ok,
